company_name,street_address,city,state,zip_code,ny,harvester_processor,secondary_processor,organic
"Camellia General Provision Co., Inc.",1333 Genesee Street,Buffalo,NY,14211,1,0,1,0
Caribbean Food Delights,117 Route 303,Tappan,NY,10983,1,0,1,0
"Casanova Market, Inc.",430 Wireless Boulevard,Hauppauge,NY,11788,1,0,1,0
Catskill Food Company LLC,53 Main Street,Delhi,NY,13753,1,0,1,0
Cavo Greco Foods,532 East Meadow Avenue,East Meadow,NY,11554,1,0,1,0
Chef's Choice Cash & Carry Food Distribution Inc,1051 Utica Avenue,Brooklyn,NY,11203,1,0,1,0
"Chef's Delight Packing Co., Inc.",94 North 8th Street,Brooklyn,NY,11211,1,0,1,0
Chihuly,2301 Borden Avenue,Long Island City,NY,11101,1,0,1,0
"Constance Food Group, DBA Norris Food Services, LLC",545 Johnson Avenue Suite 10,Bohemia,NY,11716,1,0,1,0
"Copper City Meats, DBA Gold Medal Packing",8269 River Road,Rome,NY,13440,1,1,1,0
"Crescent Prime Cuts, Ltd.",1970 New Highway,Farmingdale,NY,11735,1,0,1,0
"Crescent Specialty Foods, LLC",30 Central Avenue,Farmingdale,NY,11735,1,0,1,0
"Croghan Meat Market ,Inc.",9824 State Route 812,Croghan,NY,13327,1,0,1,0
"Crown I Foods, Inc.",85 Saxon Avenue,Bay Shore,NY,11706,1,0,1,0
"Cup and Char Pepperoni, Inc.",81 Dingens Street,Buffalo,NY,14206,1,0,1,0
D'Empanadas,1110 Rogers Avenue,Brooklyn,NY,11226,1,0,1,0
DAIRY MAID RAVIOLI MFG. CORP.,214 AVENUE U,BROOKLYN,NY,11223,1,0,1,0
Damn Good Foods Inc.,1002 Hudson Ave.,Stillwater,NY,12170,1,0,1,0
Damn Good Foods Inc.,7 Tent Lane,Stillwater,NY,12170,1,0,1,0
"David Mosner, Inc.",355 Food Center Drive,Bronx,NY,10474,1,0,1,0
Davis Bros. Inc.,4521 County Route 4,Oswego,NY,13126,1,0,1,0
DeSola Provisions Corp.,355 Food Center Drive Building B18,Bronx,NY,10474,1,0,1,0
"Del Caribe Meat, Inc",1212 Brook Avenue,Bronx,NY,10456,1,0,1,0
Delicious Specialty Foods Corp.,1698 Main Street 1st Floor,Peekskill,NY,10566,1,0,1,0
"Dim Sum Factory, Inc.",15011 14th Avenue,Whitestone,NY,11357,1,0,1,0
"Dim Sum Factory, Inc.",4235 Main Street Unit CC,Flushing,NY,11355,1,0,1,0
"Dino's Sausage & Meat Co., Inc.",722 Catherine Street,UTICA,NY,13501,1,0,1,0
"Diverse Food Products, LLC",8242 Loop Road,Baldwinsville,NY,13027,1,0,1,0
Double L Ranch Inc.,7181 Dunnsville Road,Altamont,NY,12009,1,1,1,0
"Down the Road Butchery, LLC",174 Battenfield Road,Milan,NY,12571,1,0,1,0
DuFour Gourmet,4337 9th Street,Long Island City,NY,11101,1,0,1,0
Dudley Poultry Company,910 State Route 245,Middlesex,NY,14507,1,0,1,0
"E123 Enterprises, LLC",355 Food Center Drive E3,Bronx,NY,10474,1,0,1,0
Eagle Bridge Custom Meat and Smokehouse,139 Center Road,Eagle Bridge,NY,12057,1,1,1,0
"Edelweiss Meat Company, LLC",12 Old Myers Drive,Albany,NY,12205,1,0,1,0
"Elk Provision Co., Inc.",1260 Clinton Street,Buffalo,NY,14206,1,0,1,0
Empire Custom Processing LLC,430 NYS Route 8,Bridgewater,NY,13313,1,1,1,0
"Espuna, LLC",20 Harrison Street,Gloversville,NY,12078,1,0,1,0
"European Food Market, LLC",364 Ryer Road,Narrowsburg,NY,12764,1,0,1,0
F-16 Custom Cuts LLC,355 Food Center Drive Unit F16,Bronx,NY,10474,1,0,1,0
"Farmingdale Meat Market, Inc., DBA Main Street Wholesale Meats",210 Main Street,Farmingdale,NY,11735,1,0,1,0
"Finger Food Products, LLC",6400 Inducon Drive West,Sanborn,NY,14132,1,0,1,0
"Five Goods, Inc.",239 54th Avenue,Long Island City,NY,11101,1,0,1,0
"Five Star Food Products, Inc.",999 South Oyster Bay Road Building 400,Bethpage,NY,11714,1,0,1,0
"Five Star Meat, Inc., DBA Emir Halal",69-80 75th Street,Middle Village,NY,11379,1,0,1,0
"Fleish Yavesh, Inc.",11 Prospect Ave.,Hewlett,NY,11557,1,0,1,0
Flushing Meat,306 Stagg Street,Brooklyn,NY,11206,1,0,1,0
Ford Brothers Wholesale Meats Inc,9129 Rt 219,West Valley,NY,14171,1,0,1,0
"Forest Pork Store, Inc.",6639 Forest Avenue,Ridgewood,NY,11385,1,0,1,0
"Frank Wardynski & Sons, Inc.",336 Peckham Street,Buffalo,NY,14206,1,0,1,0
"G & L Meat Company, Inc.",111 Gateway Park Drive,North Syracuse,NY,13212,1,0,1,0
"GB Green Gastronome, LLC",220-13 Jamaica Avenue,Queens Village,NY,11428,1,0,1,0
Gabriele Properties Holding LLC,255 Mohawk Avenue,Scotia,NY,12302,1,0,1,0
"Garden Manor Farms, Inc.",355 Food Center Unit F-11,Bronx,NY,10474,1,0,1,0
Glatt Boy's Inc.,355 Food Center Drive E-14,Bronx,NY,10474,1,0,1,0
Glazier Packing Company Inc.,7170 US HIghway 11,Potsdam,NY,13676,1,0,1,0
Golden Krust Patties Inc.,3958 Park Avenue,Bronx,NY,10457,1,0,1,0
"Golden Meat Co., LLC","355 Food Center Drive Units #D22, D23, D24",Bronx,NY,10474,1,0,1,0
"Gondola Brand Macaroni Products, Inc",1985 Niagara Street,Buffalo,NY,14207,1,0,1,0
"Gourmet Boutique, LLC",144-02 158th Street,Jamaica,NY,11434,1,0,1,0
"Gourmet Boutique, LLC SAT",165-35 145th Drive,Jamaica,NY,11434,1,0,1,0
Green Top Farms,324 Maujer Street,Brooklyn,NY,11206,1,0,1,0
Grizzly's Custom Cutting Inc.,10042 South River Road,Hunt,NY,14846,1,1,1,0
Grossglockner Inc.,2640 Brickyard Road,Canandaiqua,NY,14424,1,0,1,0
"Grossglockner, Inc.",5560 Airport Road,Canadaigua,NY,14424,1,0,1,0
HM Halal Munchies Corp.,300 Michael Drive,Syosset,NY,11791,1,0,1,0
HTE Food Corp.,1510  130th Street Unit C,College Point,NY,11356,1,0,1,0
"HVFG, LLC",346 Airport Road,Mongaup Valley,NY,12762,1,0,1,0
"Ham Slices, LLC",600 East 132nd Street Unit B,Bronx,NY,10454,1,0,1,0
Hamilton Meats Supply Inc.,1451 Pennsylvania Avenue,Pine City,NY,14871,1,0,1,0
Hanzlian's Sausage & Deli,2351 Genesee Street,Cheektowaga,NY,14225,1,0,1,0
Hartland Abattoir Corp,7968 Ridge Road,Gasport,NY,14067,1,1,1,0
"Hearty Acquisitions, LLC",276 Stagg Street,Brooklyn,NY,11206,1,0,1,0
"Heinsen Products, Inc.",320 Casanova Street,Bronx,NY,10474,1,0,1,0
Hempstead Foodservice Inc.,52 Chasner Street,Hempstead,NY,11550,1,0,1,0
"Highland Hollow Farm, LLC",322 Colby Road,Schoharie,NY,12157,1,0,1,0
Hilltown Country Smokehouse LLC,786 US Route 20,New Lebanon,NY,12125,1,0,1,0
Hilltown Pork Inc.,12948 State Route 22,Canaan,NY,12029,1,1,1,0
Hofmann Sausage,6196 Eastern Avenue,Syracuse,NY,13211,1,0,1,0
Hoskie Co. Inc.,132 Harrison Place,Brooklyn,NY,11237,1,0,1,0
"House of Solomon, LLC",611 Bergen Street,Brooklyn,NY,11238,1,0,1,0
Huang's Meat Trading,4114 3rd Avenue Store Front,Brooklyn,NY,11232,1,0,1,0
"Hudson Foods Venture, LLC",7 Dock Street,Hudson,NY,12534,1,0,1,0
"Hudson Valley Charcuterie, LLC",111 County Route 34,East Chatham,NY,12060,1,0,1,0
Hudson Valley Craft Sausage LLC,72 Grace Church Street,Port Chester,NY,10573,1,0,1,0
"Ian's Corporation, DBA Hudson River Foods",22 Hamilton Way,Castleton,NY,12033,1,0,1,0
"JAS Meats, Inc.",136 21st Street,Brooklyn,NY,11232,1,0,1,0
JD Meat Market,1375 Ogden Avenue,Bronx,NY,10452,1,0,1,0
JDM Specialty Foods,250 East 14th Street,Elmira,NY,14903,1,0,1,0
JOSEF MEILLER SLAUGHTERHOUSE INC.,ROUTE 199 P.O. BOX 131,PINE PLAINS,NY,12567,1,1,1,0
Jack Toney Wholesale Meats,3872 Main Street,Warrensburg,NY,12885,1,0,1,0
Jackiscooking LLC,90 Wiltsie Bridge Road,Ancramdale,NY,12503,1,0,1,0
"Jamaican Flavors Patties, Inc.",147-95A Farmers Boulevard,Jamaica,NY,11434,1,0,1,0
Janowski Hamburgers,15 South Long Beach Road,Rockville Centre,NY,11570,1,0,1,0
"Japan Premium Beef, Inc.",B23 Hunts Point Co-Op Market Unit 2F,Bronx,NY,10474,1,0,1,0
"Jimmy E, Inc.",5600 1st Avenue Unit A23,Brooklyn,NY,11220,1,0,1,0
Joe Pagliuso & Brothers Inc.,6845 North Slocum Rd,Ontario,NY,14519,1,1,1,0
"John W. Williams, Inc.","355 Food Center Drive Units F14, 15, and 15A",Bronx,NY,10474,1,0,1,0
"John's Meats, LLC",998 Montgomery Street,Brooklyn,NY,11213,1,0,1,0
John's Ravioli Company Inc.,15 Drake Avenue,New Rochelle,NY,10805,1,0,1,0
Johnson's Premium Sausage,606 South Main Street,Elmira,NY,14904,1,0,1,0
K-D Market Inc.,88 Mulberry Street,New York,NY,10013,1,0,1,0
Kassian Farms LLC,500 East 132nd Street,Bronx,NY,10454,1,0,1,0
Kelley Meats LLC,8937 Beckwith Road,Taberg,NY,13471,1,1,1,0
Kennedy Meat Market,280 Route 394,Randolph,NY,14772,1,1,1,0
Kerr's Custom Butchering,149 Cottage Rd,South Dayton,NY,14138,1,1,1,0
King Solomon Foods inc.,5600 1st Avenue  Unit B,Brooklyn,NY,11220,1,0,1,0
Kingsland Food Processing Corp.,57-11 49th Place,Maspeth,NY,11378,1,0,1,0
Kiryas Joel Poultry Processing Plant,7 Dinev Road,Monroe,NY,10950,1,0,1,0
Kosher R Us,5600 First Avenue Unit A8,Brooklyn,NY,11204,1,0,1,0
Kraft Heinz Foods Company,140 Spring Street,Avon,NY,14414,1,0,1,0
Kroll Farms Inc.,155 Bethlehem Road,New Windsor,NY,12553,1,1,1,0
"LIC COM, LLC",509 Manida Street,bronx,NY,10474,1,0,1,0
La Salumina LLC,210 Main Street,Hurleyville,NY,12747,1,0,1,0
"La Trafila, LLC",65 15th Street,Brooklyn,NY,11215,1,0,1,0
La mina Meat& Provisions Corp.,119 Stockholm Street,Brooklyn,NY,11221,1,0,1,0
"LaGustosa Food Products & Imports Co., Inc.",402 Franklin Avenue,Franklin Square,NY,11010,1,0,1,0
Lamoy Meat Market Corp.,427 39th Street,Brooklyn,NY,11232,1,0,1,0
"Lancaster Quality Pork, Inc.",5600 First Avenue Building A-25,Brooklyn,NY,11220,1,0,1,0
"Latina Boulevard Foods, LLC",1 Scrivner Drive,Cheektowaga,NY,14227,1,0,1,0
Les Chateaux DeFrance Inc,1 Craft Avenue,Inwood,NY,11096,1,0,1,0
"Li Chuen Company, Inc.",861 Grand Street,New York,NY,11211,1,0,1,0
"LiDestri Foods, Inc.",1020 Lee Road,Rochester,NY,14606,1,0,1,0
"LiDestri Foods, Inc.",815 W Whitney Road,Fairport,NY,14450,1,0,1,0
"Lo Fuk Yuen By Dim Sum Shop, Inc.",7303 New Utrecht Avenue,Brooklyn,NY,11204,1,0,1,0
Locust Grove Farm,4725 State Route 40,Argyle,NY,12809,1,1,1,0
London Manhattan Corp.,355 Food Center Drive Units C23 and C24,Bronx,NY,10474,1,0,1,0
Loose Goose Kitchenworks,13056 State Route 22,Canaan,NY,12029,1,0,1,0
"Los Olivos, Ltd.",105 Bi County Boulevard,Farmingdale,NY,11735,1,0,1,0
Los Primos Meats Inc.,305 Maujer Street,Brooklyn,NY,11206,1,0,1,0
Lou G Siegel,58 Dobbin Street,Brooklyn,NY,11222,1,0,1,0
Lupo's Quality Deli,625 Dickson Street,Endicott,NY,13760,1,0,1,0
M&P Production LTD,830 39th Street,Brooklyn,NY,11232,1,0,1,0
MEAT BAR INC.,153-07 ROCKAWAY BLVD.,JAMAICA,NY,11434,1,0,1,0
MELONE BROTHERS INC,17 Hooker Place,Staten Island,NY,10302,1,0,1,0
MF Meats,2063 Allen Street Extension,Falconer,NY,14733,1,0,1,0
Macelleria DeMaria LLC,500 Croton Avenue,Cortland Manor,NY,10567,1,1,1,0
Making Ends,254 36th Street,Brooklyn,NY,11232,1,0,1,0
"Malafy's Meat Processing, LLC",287 Milan Hill Road,Red Hook,NY,12571,1,1,1,0
Mannino's Wholesalers Corp,35 Marcus Boulevard,Hauppauge,NY,11788,1,0,1,0
Marathon Enterprises Inc.,787 East 138th Street,Bronx,NY,10454,1,0,1,0
"Master Purveyors, Inc.",355 Food Center Drive Unit B14,Bronx,NY,10474,1,0,1,0
Mastroianni Food Distributor,20 Sam Stratton Road,Amsterdam,NY,12010,1,0,1,0
"Mathew's Prime Meats, Inc.",245 Route 109,West Babylon,NY,11704,1,0,1,0
Meat & Fisheries Processing Laboratory,State University of New York - Cobleskill 114 Rockland Lane,Cobleskill,NY,12043,1,1,1,0
"Meat King, Inc.",100 Van Brunt Street,Brooklyn,NY,11231,1,0,1,0
Meat Palace Corp.,640 Atkins Avenue,Brooklyn,NY,11208,1,0,1,0
Mecca Halal Poultry,36-27 32nd Street,Astoria,NY,11106,1,0,1,0
Mega Meats,2824 Boston Post Rd,Bronx,NY,10469,1,0,1,0
"Midland Meat Packing NY, Inc.",5600 First Avenue A-21,Brooklyn,NY,11220,1,0,1,0
"Milan Provision Co., Inc.",108-15 Roosevelt Avenue,Corona,NY,11368,1,0,1,0
"Milmar Food Group II, LLC",One 6 1/2 Station Rd.,Goshen,NY,10924,1,0,1,0
Mineo and Sapio's,410 Connecticut Street,Buffalo,NY,14213,1,0,1,0
"Modern Market Wholesale, LLC",3538 California Road,Orchard Park,NY,14127,1,0,1,0
Mongiello Italian Cheese Specialties,250 Hilldale Road,Hurleyville,NY,12747,1,0,1,0
"Moores Specialty Meat Products, Inc.",355 Food Center Drive Unit B22,Bronx,NY,10474,1,0,1,0
Morning Star Poultry,188 Tanners Rd,Fort Plain,NY,13339,1,0,1,0
Mr. Pierogi,126 12th St,Brooklyn,NY,11215,1,0,1,0
N S Brandon Packing Inc.,28 Church Street,Otego,NY,13825,1,1,1,0
"NAT KAGAN MEAT & POULTRY, INC.",8 GREEN AVENUE,WOODRIDGE,NY,12789,1,0,1,0
NY Delicacy Inc.,18006 Union Tpke,Fresh Meadows,NY,11366,1,0,1,0
"NYS DOCS, OFFICE OF NUTRITIONAL SERVICES/FOOD PRODUCTION CENTER","EVANS DRIVE, P.O. BOX 4110 BUILDINGS #50 & #55",ROME,NY,13422,1,0,1,0
Nathan's Soup & Salad,900 Jefferson Road Bldg. 3,Rochester,NY,14623,1,0,1,0
National Packing Corp.,538 Craven Street,Bronx,NY,10474,1,0,1,0
Natures Way Food Corp,336 Barretto Street,Bronx,NY,10474,1,0,1,0
New Cheung's Meat Wholesale In,55-57 Montrose Ave,Brooklyn,NY,11206,1,0,1,0
"New S & N Meat Market, Inc","5600 First Avenue Building A, Unit A14",Brooklyn,NY,11220,1,0,1,0
"New York Beef Company, LLC",41 Stringham Road,Poughkeepsie,NY,12603,1,0,1,0
"New York Food Service, Inc.",C-16 Hunts Point Co-op Market,Bronx,NY,10474,1,0,1,0
New York Meat and Fish Market,125-127 Saint Ann's Avenue,Bronx,NY,10454,1,0,1,0
"New York Meat, Inc.",A-19 Hunt's Point Co-op Market,Bronx,NY,10474,1,0,1,0
"Niagara Food Specialties USA, Inc.",10190 Roosevelt Highway,Lyndonville,NY,14098,1,0,1,0
"Niagara Specialty Foods, Inc.",2760 Elmwood Avenue,Kenmore,NY,14217,1,0,1,0
"Nom Nom Dumplings, LLC.",168 Bowery,New York,NY,10012,1,0,1,0
"Northern Culinary Brands, LLC",190 Banker Road,Plattsburgh,NY,12901,1,0,1,0
Nuevo Mundo Foods LLC,42-12 Junction Blvd.,Corona,NY,11368,1,0,1,0
O. K. Food Products,Rathbone Avenue,Valatie,NY,12184,1,0,1,0
OMH Cook Chill Production Center,145 Old Orangeburg Road,Orangeburg,NY,10962,1,0,1,0
Old Country Jerky,49 Atlantic Avenue,Lynbrook,NY,11563,1,0,1,0
Old World Provisions Inc.,12 Industrial Park Rd.,Troy,NY,12180,1,0,1,0
"Orchard Sausages, Inc.",340 Johnson Avenue,Brooklyn,NY,11206,1,0,1,0
Oscar's Hickory House Inc.,22 Raymond Lane,Warrensburg,NY,12885,1,0,1,0
Owasco Meat Company,61 Oak Hill Rd,Moravia,NY,13118,1,1,1,0
PDH Markets,935 Taft Avenue,Endicott,NY,13760,1,0,1,0
Palmer Food Service,171 Weidner Road,Rochester,NY,14624,1,0,1,0
Pane Vita LLC,10 White Street,Rochester,NY,14608,1,0,1,0
Papa Pasquale Ravioli and Pasta Company,7813 15th Ave,Brooklyn,NY,11228,1,0,1,0
Parillo Sausage,90 Washington Street,Saratoga Springs,NY,12866,1,0,1,0
"Patla Enterprises, Inc.",7360 State Route 46,Rome,NY,13440,1,0,1,0
Pede Brothers Incorporated,582 Duanesburg Road,Schenectady,NY,12306,1,0,1,0
Peking Food LLC,47 Stewart Avenue,Brooklyn,NY,11237,1,0,1,0
Peter's Wholesale Meat Corporation,148-09 Guy R. Brewer Blvd.,Springfield Gardens,NY,11434,1,0,1,0
Piatkowski Riteway Meats Inc.,3555 Witmer Road,Niagara Falls,NY,14305,1,0,1,0
"Piccinini Brothers, Inc",633 Ninth Avenue,New York,NY,10036,1,0,1,0
Picone Meat Specialties LTD,180 Jefferson Ave,Mamaroneck,NY,10543,1,0,1,0
"Plymouth Beef Company, Inc.",355 Food Center Drive,Bronx,NY,10474,1,0,1,0
"Pork King Sausage, Inc.",F-22 Hunts Point Coop Market,Bronx,NY,10474,1,0,1,0
Premier Meat Processing LLC,36-16 23rd Street,Astoria,NY,11106,1,0,1,0
"Prime Food Distributor, Inc.",80 Seaview Boulevard,Port Washington,NY,11050,1,0,1,0
"Prime Food Processing, LLC",300 Vandervoort Ave.,Brooklyn,NY,11211,1,0,1,0
Punto Rojo Empanadas Corp.,305 Font Street,Hempstead,NY,11550,1,0,1,0
"Queen City Fresh Foods, LLC",2520 Hamburg Turnpike,Lackawanna,NY,14218,1,0,1,0
"RHOSEY LLC   Rhosey, LLC",1677 McDonald Avenue,Brooklyn,NY,11230,1,0,1,0
"ROMA SAUSAGE, INC.",2029 BLEECKER STREET,UTICA,NY,13501,1,0,1,0
"Red Barn Meats, Inc.",9095 Briot Road,Croghan,NY,13327,1,1,1,0
Red Bowl Food Corporation,6904 8th Ave,Brooklyn,NY,11228,1,0,1,0
Reliable Brothers,185 Cohoes Ave,Green Island,NY,12183,1,0,1,0
Reliable Wholesale Meats,306 Van Brunt Street,Brooklyn,NY,11231,1,0,1,0
Romeo Foods Inc,7807 15th Avenue,Brooklyn,NY,11228,1,0,1,0
"Rosenkrans Natural Beef Company, LLC",900 Jefferson Road Suite 5,Rochester,NY,14623,1,0,1,0
"Rosina Food Products, Inc.",3100 Clinton Street,West Seneca,NY,14224,1,0,1,0
"Rosina Food Products, Inc.",75 Empire Drive,West Seneca,NY,14224,1,0,1,0
"Rosina Food Products, Inc.",160 Empire Drive,Buffalo,NY,14224,1,0,1,0
Rosina Food Products. Inc.,75 Industrial Parkway,Cheektowaga,NY,14227,1,0,1,0
"Rural Foods, LLC",41 North Union Street,Cambridge,NY,12186,1,0,1,0
SALARINO'S ITALIAN FOOD INC.,110 JAMES STREET,CANASTOTA,NY,13032,1,0,1,0
SON AND SONS TRADING CO. INC.,518 GARDNER AVENUE,BROOKLYN,NY,11222,1,0,1,0
"Sahlen Packing Co., Inc.",327 Howard Street,Buffalo,NY,14206,1,0,1,0
"Sahlen Packing Company, Inc.",318 Howard Street,Buffalo,NY,14206,1,0,1,0
Salsabil Meat Processing,12 Ehle Street,Nelliston,NY,13410,1,1,1,0
Salumeria Biellese Inc.,376-378 8th Avenue,NYC,NY,10001,1,0,1,0
Samossa Bites,35-27 31st Street,Long Island City,NY,11106,1,0,1,0
Santora Foods LLC,2928 Walden Avenue,Depew,NY,14043,1,0,1,0
Schneider's Fish and Seafood Corp.,2150 Old Union Road,Cheektowaga,NY,14227,1,0,1,0
"Schonwetter Enterprises, Inc., DBA Bilinski's Sausage Mfg Co.",41 Lark Street,Cohoes,NY,12047,1,0,1,0
"Schrader Farms, LLC",1937 Somerville Road,Romulus,NY,14541,1,1,1,0
Schreiber Processing Corporation,56-20 59th Street,Maspeth,NY,11378,1,0,1,0
Seven Nation Food Company,389 East 3rd Street,Mount Vernon,NY,10550,1,0,1,0
"Seviroli Foods, LLC",60 Davids Drive,Hauppauge,NY,11530,1,0,1,0
"Seviroli Foods, LLC",601-557-563-579 Brook Street,Garden City,NY,11530,1,0,1,0
Shah's Halal Food & Products Inc.,138 - 62 94th Avenue,Jamaica,NY,11435,1,0,1,0
"Shahs Halal New Horizons Processing, Inc.",6500 New Horizons Blvd,Amityville,NY,11701,1,0,1,0
"Shale Spring Meats, LLC",10647 Kelsey Road West,Clyde,NY,14433,1,1,1,0
Sir Delicious,1717 Clifford Ave,Rochester,NY,14609,1,0,1,0
Slaughter House Inc.,151-24 Beaver Road,Jamaica,NY,11433,1,1,1,0
Sonny's 10th Avenue Meat Market Inc.,758 10th Avenue,New York,NY,10019,1,0,1,0
Stamford Smokehouse LLC,103 Main Street,Stamford,NY,12167,1,0,1,0
Star Natural Meats LLC,4505 Ditmars Boulevard,Astoria,NY,11105,1,0,1,0
Steuben Foods Inc.,1150 Maple Road,Elma,NY,14059,1,0,1,0
"Stevens Brothers, LLC",392 Goshen Road,Panama,NY,14767,1,1,1,0
Sun Ming Jan Inc.,145 Noll Street,Brooklyn,NY,11206,1,0,1,0
Sunny Savory,36-12 48th Avenue,Long Island City,NY,11101,1,0,1,0
Swan Market,433 Parsells Avenue,Rochester,NY,14609,1,0,1,0
T & B Food Corp.,15-10 130th Street,College Point,NY,11356,1,0,1,0
T&L Creative Salads,148 Allen Blvd,Farmingdale,NY,11735,1,0,1,0
"TC Provisions, Inc.",31 Heisser Court,Farmingdale,NY,11735,1,0,1,0
TCM Foods,175 Clearbrook Road,Elmsford,NY,10523,1,0,1,0
"TMAC Food Services, Inc.",116 Michigan Avenue,Buffalo,NY,14204,1,0,1,0
"TOWER ISLE'S FROZEN FOODS, LTD",2025 ATLANTIC AVENUE,BROOKLYN,NY,11233,1,0,1,0
"Table 87 Frozen, LLC",145 42nd Street,Brooklyn,NY,11232,1,0,1,0
"Textured Food Innovations, LLC",552 Westbury Ave,Carle Place,NY,11514,1,0,1,0
"The Alps Provision Co., Inc.",22-70 45th Street,Long Island City,NY,11105,1,0,1,0
The Craft Cannery,7100 Apple Tree Avenue,Bergen,NY,14416,1,0,1,0
"The Gilded Kitchen, Inc.",228 Duffield Street,Brooklyn,NY,11201,1,0,1,0
"The Original Crunch Roll Factory, LLC",75 Bourne Street,Westfield,NY,14787,1,0,1,0
The Pierogi Guy,462 Elmridge Center Drive,Rochester,NY,14626,1,0,1,0
"Timberline Meats, LLC",4342 John Green Rd,Dundee,NY,14837,1,1,1,0
"Tomoe Food Services, Inc.","355 Food Center Drive, Building D18-D-21",Bronx,NY,10474,1,0,1,0
"Top Taste Food, Inc.",95 13th Street,Brooklyn,NY,11215,1,0,1,0
Total Product Distributor Inc.,48 Brooklyn Terminal Market,Brooklyn,NY,11236,1,0,1,0
Treasure Isle Foods,164 Second Street,Mineola,NY,11501,1,0,1,0
Tri-Town Packing Corporation,922 County Route 53,Brasher Falls,NY,13613,1,1,1,0
Trinity Meat Company LLC,3487 State Highway 205,Hartwick,NY,13348,1,1,1,0
Tuv Taam Corp,502 Flushing Avenue,Brooklyn,NY,11205,1,0,1,0
"Twin Marquis, LLC",7 Bushwick Place,Brooklyn,NY,11206,1,0,1,0
"U.F.S. Industries, Inc.",300 North MacQuesten Parkway,Mount Vernon,NY,10550,1,0,1,0
US Foods Inc,4900 Lake Avenue,Blasdell,NY,14219,1,0,1,0
"US Meat Processing, LLC",1973 Steinway  Street,Astoria,NY,11105,1,0,1,0
"United Meat Products, Inc.",50 SawGrass Drive,Bellport,NY,11713,1,0,1,0
VM LA Sultana Products Corp,6978 75th Street,Middel Village,NY,11379,1,0,1,0
"VSM NY Distribution, LLC/Fairway Market Distribution Center",400 Walnut Ave,Bronx,NY,10454,1,0,1,0
Valley Meat Packing Corp.,2812 Settle Road,Newark Valley,NY,13811,1,1,1,0
"Veselka Lorimer Commissary, LLC",646 Lorimer Street,Brooklyn,NY,11211,1,0,1,0
Victor Provisions,340 B Stagg Street,Brooklyn,NY,11206,1,0,1,0
"Vito A Sindoni & Son Packing Co., LLC",1070 Settles Hill Road,Altamont,NY,12009,1,0,1,0
WING Y Meats Inc.,14 Varick Street,Brooklyn,NY,11222,1,0,1,0
"Wan Rong Trading Corp., DBA Taihe Trading Corp.",4843 32nd Place,Long Island City,NY,11101,1,0,1,0
"Wang Cai Enterprise, Inc.",3912 47th Avenue,Sunnyside,NY,11104,1,0,1,0
