year,variable_name,variable_description_short,variable_description,variable_definition
2017,differentiated_farm,,"An operation with local, organic, or value-added sales or agritourism income",In 2007 and 2012 only includes sales from direct-to-consumer and does not include value-added sales
2017,differentiated_sales,,"Total sales from local, organic, or value-added and income from agritourism",In 2007 and 2012 only includes sales from direct-to-consumer and does not include value-added sales
2017,va_tvp,,Value-added sales as a percent of total sales,NA
2017,value_added_farm,,Operations with value-added sales,"Processed or value-added products include jam, wine, cheese, meat, floral arrangements, cider, etc. (includes sales through both local and commodity market channels)"
2017,value_added_fct,,A value-added factor variable with two levels: Value-added sales and no value-added sales,NA
2017,value_added_sales,,Sales from value-added or processed products,"Processed or value-added products include jam, wine, cheese, meat, floral arrangements, cider, etc. (includes sales through both local and commodity market channels)"
2017,assets,,"Total assets: all land and buildings owned, rented or leased from others, machinery, equipment, and implements, minus land and buildings leased from others",k996 + k997 + k943 - k998
2017,cropins_percent_acres,,Acres covered under crop insurance as a percent of all acres operated,k1067/k46
2017,exp,,Total expense: contractor total production expenses + operator and landlord total production expeneses,k1539 + k1540
2017,fullowner,,Operation owns all of the land they operate, k43 >= k46
2017,fulltenant,,Operation rents all of the land they operate,k43 == 0
2017,gcfi,,Gross cash farm income (GCFI): total sales + contract income + government payments + income from ag related sources - landlord's share of  total sales,k1347 + k1314 + k684 + OFRI - k1349
2017,gov_payment_intensity,,"Government payments as a share of total value of production, shows the importance of government payments to the farm business","When gcfi==0, then 0, otherwise
      k684/gcfi"
2017,gov_payments,,"Total government payments received, including CRP, WRP, FWP, CREP, and other Federal agricultural program payments)",K685 + K1422
2017,gov_payments_cat,,Operations that recieve government payments,"when gov_payments>0 then 1, otherwise 0"
2017,infi,,Net farm income (GCFI minus total expenses),gcfi - exp
2017,interest_percent_acres,,Total interest expense as a share of total acres,(k1515 + k1516)/k46
2017,interest_percent_assets,,Total interest expense as a share of total assets,(k1515 + k1516)/assets
2017,op_expense_ratio,,"Operating expense ratio, measures the amount of cash the farm sector spends to generate a dollar of production","If gcfi equals zero then  NA, otherwise equals (exp - k1513 - k1515)/gcfi"
2017,op_expense_ratio_crit_zone,,"A value of one means the operating expense ratio is greater than 0.8, zero otherwise","If the operating expense ratio >0.8 then 1, otherwise 0"
2017,opm,,Operating profit margin: measures funds available to finance the farm's ongoing operation,gcfi - exp + k1513 + k1515)/gcfi. Note: we cannot deduct the estimated market value of the unpaid labor and management services provided by the farm household as they do using ARMS.
2017,opm_crit_zone,,"A value of one means the operating profit margin is less than 0.1, zero otherwise","If OPM<0.1 then 1, otherwise 0"
2017,opm_zone,,"Operating profit margin zones: High risk (OPM < 0.10), Medium risk (OPM >= 0.10 & OPM <= 0.25), Low risk (OPM >0.2)","If OPM< 0.10 then High risk, if OPM >= 0.10 & opm <= 0.25 then Medium risk, if OPM >0.25 then Low risk"
2017,owned_operated,,Ratio of owned acres to operated acres,k43/k46
2017,owner,,"A value of one means operations owns at least 50% of the land they operate, a value of zero means they do not","if owned_operated >=0.5, then 1, otherwise 0"
2017,partowner,,"A value of one means operation owns part of the land they operate, zero means they either own or rent all of their land",k43 >0 & k43 < k46
2017,pos_profit,,"A value of 1 means the operation has positive profit, zero means they do not","If (gcfi - exp) > 0, then 1, otherwise 0"
2017,rented_in_operated,,Share of operated land that is rented in,rlif/k46
2017,roa,,Return on assets (ROA): measures the returns to farm sector assets from current farm operations,gcfi - exp + k1513 + k1515)/(k996 + k997 + k943 - k998)
2017,roa_crit_zone,,"A value of one means the operation has a return on assets less than 0.01, zero otherwise","If roa<0.01, then 1, otherwise 0,"
2017,tenure_fct,,"Three levels: Full owner, Part owner and Full tenant"," When k43 >= k46 then Full owner, when k43 >0 & k43 < k46 then Part owner and when k43 == 0 then Full tenant"
2017,tvp,,Total sales (both under production contract and not under production contract),k1347 (sales not under production contract) + k1367 (total sales under production contract)
2017,acres_class,,"Scale factor variable with 8 categories based on acres operated: 1 to 9, 10 to 50, 50 to 179, 180 to 499, 500 to 999, 1,000 to 1,999, 2,000 or more","If k46>0 & k46<10 then 1 to 9, k46>=10 & k46<50 then 10 to 49, k46>=50 & k46<180 then 50 to 179, k46>=1 & k46<500 then 180 to 499, k46>=500 & k46<1000 then 500 to 999, k46>=1000 & k46<2000 then 1,000 to 1,999, k46>=2000 then 2,000 or more"
2017,all_animal,,Primary commodity: livestock and dairy,"If livestock==1, dairy==1, poultry==1, or otheranimal==1, then 1, otherwise 0"
2017,all_crop,,Primary commodity: crops," If fieldcrop==1, fruitveg==1, or othercrops==1, then 1, otherwise 0"
2017,crop_ins_dairy,,Dairy operation with acres insured under Federal crop insurance,"If dairy ==1, then crop_insurance, otherwise NA"
2017,crop_ins_fieldcrop,,Field crop operation with acres insured under Federal crop insurance,"If fieldcrop ==1, then crop_insurance, otherwise NA"
2017,crop_ins_fruitveg,,Fruit/vegetable operation with acres insured under Federal crop insurance,"If fruitveg==1, then crop_insurance, otherwise NA"
2017,crop_ins_livestock,,Livestock operation with acres insured under Federal crop insurance,"If livestock ==1, then crop_insurance, otherwise NA"
2017,crop_ins_otheranimal,,Other animal operation with acres insured under Federal crop insurance,"If otheranimal==1, then crop_insurance, otherwise NA"
2017,crop_ins_othercrops,,Other crop operation with acres insured under Federal crop insurance,"If othercrops ==1, then crop_insurance, otherwise NA"
2017,crop_ins_poultry,,Poultry operation with acres insured under Federal crop insurance,"If poultry ==1, then crop_insurance, otherwise NA"
2017,crop_ins_primary_commodity,,"Crop insurance by primary commodity factor variable where each factor indicates an operation has a specific primary commodity and Federal crop insurance: Field crop, Fruit/veg, Other crops, Livestock, Dairy, Poultry, Other animal","Factor variable: crop_ins_fieldcrop==1 then Field crop, crop_ins_fruitveg==1 then Fruit/veg crop_ins_othercrops==1 then Other crops, crop_ins_livestock==1 then Livestock, crop_ins_dairy ==1 then Dairy, crop_ins_poultry ==1 then Poultry, crop_ins_otheranimal == 1 then Other animal, otherwise then no crop insurance"
2017,crop_insurance,,Operation has crop acres insured under Federal crop insurance,"If k1067>0, then 1, otherwise 0"
2017,dairy,,Primary commodity: Milk and other dairy products from cows,"If farmtype==10, then 1, otherwise 0"
2017,fieldcrop,,"Primary commodity: Grains, Oilseeds, Dry Beans, Dry Peas, Tobacco, Cotton"," If farmtype==1, 2, or 3, then 1, otherwise 0"
2017,fruitveg,,"Primary commodity: Vegetables, Melons, Potatoes, and Sweet Potatoes, Fruit, Tree Nuts, and Berries","If farmtype==4 or 5, then 1, otherwise 0"
2017,gcfi_0_75,,"Operation with gross cash farm income from $0 to $74,999","If sales_class== $0 to $74,999 then 1, otherwise 0"
2017,gcfi_350_1M,,"Operation with gross cash farm income $350,000 to $999,999","If sales_class==$350,000 to $999,999 then 1, otherwise 0"
2017,gcfi_75_350,,"Operation with gross cash farm income $75,000 to $349,999","If sales_class==$75,000 to $349,999 then 1, otherwise 0"
2017,gcfi_over_1M,,Operation with gross cash farm income over $1 million,"If sales_class==$1,000,000 or more then 1, otherwise 0"
2017,livestock,,"Primary commodity: Hogs and Pigs, Cattle and Calves, Sheep, Goats, and their Products","If farmtype==9, 11, or 12, then 1, otherwise 0"
2017,operated_acres,,Total acres operated,NA
2017,otheranimal,,"Primary commodity: Horse, Ponies, Mules, Burros and Donkeys, Aquaculture, Other Animals and Other Animal Products","If farmtype==13, 15, or 16, then 1, otherwise 0"
2017,othercrops,,"Primary commodity: Nursery, Greenhouse, Floriculture, and Sod, Cut Christmas Trees and Short Rotation Woody Crops, Other Crops and Hay","If farmtype==6, 7, or 8, then 1, otherwise 0"
2017,owned_acres,,Total acres owned,NA
2017,owned_farm,,Operations that own a portion or all of the acres they operate,NA
2017,poultry,,Primary commodity: Poultry and Eggs,"If farmtype==14, then 1, otherwise 0"
2017,primary_commodity,,"Primary commodity with 7 factors: Field crop, Fruit/Veg, Other crops, Livestock, Dairy, Poultry, Other animal","A primary commodity accounts for 50 percent or more of an operation’s total value of production. For diversified operations, where no one commodity makes up 50 percent or more of the total values of production, NASS uses an algorithm to assign the operation a primary commodity. In most cases, diversified crop operations are classified as other crop and diversified livestock operations are classified as other animal"
2017,rented_in_acres,,Total acres rented or leased FROM others,NA
2017,rented_in_farm,,Operations that rent in all or a portion of the acres they operate,NA
2017,rented_out_acres,,Total acres reted or leased TO others,NA
2017,rented_out_farm,,Operations that rent out all or a portion of the acres they own,NA
2017,sales_class,,"Scale factor variable with 4 categories based on GCFI: $0 to $74,999, $75,000 to $349,999, $350,000 to $999,999, $1,000,000 or more)","gcfi <75000 is $0 to $74,999, gcfi >=75000 & gcfi <350000 is $75,000 to $349,999,  gcfi >=350000 & gcfi <1000000 is $350,000 to $999,999, gcfi >=1000000 is $1,000,000 or more"
2017,cattle_farm,,An operation with beef cows,k804>0
2017,cattle_herd,,Number of beef cows on an operation,k804
2017,cattle_sales,,Gross value of sales from cattle and calves,Includes both sales under production contract and not under production contract
2017,cattle_sales_tvp,,Gross value of sales from cattle and calves as a percent of total sales,NA
2017,dairy_farm,,An operation with dairy cows,k805>0
2017,dairy_herd,,Number of milk cows kept for production of milk,k805
2017,dairy_only,,"An operation with dairy cows only, no other cattle",k805>0 & k804==0
2017,dairy_sales,,Sales of milk from cows,k1380
2017,dairy_sales_tvp,,Sales of milk from cows as a percent of total sales,NA
2017,all_beg,,All beginning,All operators on an operation have no more than 10 years experience operating any farm
2017,any_beg,,Multigenerational beginning,One or more but not all operators on an operation have no more than 10 years experience operating any farm
2017,beginning,,An operation with a beginning operator,At least one operator on the operation has no more than 10 years experience operating any farm
2017,beginning_fct,,"Beginning factor variable: All beginning, Multigenerational beginning, Established",NA
2017,not_beg,,Established,No operators on an operation have no more than 10 years experience operating any farm
2017,number_operators,,Number of operators,Total number of operators on an operation
2017,total_beg,,Total beginning operators,Total number of operators on an operation with no more than 10 years experience operating any farm
2017,asian,,An operation with an Asian operator,An operator that selects multiple races will be counted for all races selected
2017,black,,An operation with a Black or African American operator,An operator that selects multiple races will be counted for all races selected
2017,hispanic,,"An operation with an operator of Hispanic, Latino, or Spanish origin (of any race)",NA
2017,indian,,An operation with an American Indian or Alaska Native operator,An operator that selects multiple races will be counted for all races selected
2017,indian_opi,,"An operation with an American Indian, Alaska Native, Hawaiian, or Other Pacific Islander operator",An operator that selects multiple races will be counted for all races selected
2017,opi,,An operation with a Hawaiian or Other Pacific Islander operator,An operator that selects multiple races will be counted for all races selected
2017,total_asian,,Total number of Asian operators on an operation,An operator that selects multiple races will be counted for all races selected
2017,total_black,,Total number of Black or African American operators on an operation,An operator that selects multiple races will be counted for all races selected
2017,total_hispanic,,"Total number of operators of Hispanic, Latino, or Spanish origin (of any race) on an operation",NA
2017,total_indian,,American Indian or Alaska Native operators,An operator that selects multiple races will be counted for all races selected
2017,total_indian_opi,,"Total number of American Indian, Alaska Native, Hawaiian, or Other Pacific Islander operators",An operator that selects multiple races will be counted for all races selected
2017,total_opi,,Total number of Hawaiian or Other Pacific Islander operators on an operation,An operator that selects multiple races will be counted for all races selected
2017,total_white,,Total number of White operators on an operation,An operator that selects multiple races will be counted for all races selected
2017,total_whiteonlynonhis,,"Total number of White only, non-Hispanic operators on an operation",NA
2017,white,,An operation with a White operator,An operator that selects multiple races will be counted for all races selected
2017,whiteonlynonhis,,"An operation with all White only, non-Hispanic operators",NA
2017,all_female,,All operators on an operation are female,Dummy variable that is one if all operators on an operation are female and zero otherwise
2017,all_male,,All operators on an operation are male,Dummy variable that is one if all operators operators on an operation are male
2017,any_female,,An operation with operators of multiple genders,Dummy variable to indicate there is one or more but not all female operators
2017,any_male,,An operation with operators of multiple genders,Dummy variable to indicate there is one or more but not all male operators
2017,female,,An operation with a female operator,A dummmy variable that is one if there is at least female operator on an operation
2017,female_fct,,"Female factor variable with three levels: All females, Multiple genders, No females",NA
2017,male,,An operation with a male operator,A dummmy variable that is one if there is at least male operator on an operation
2017,male_fct,,"Male factor variable with three levels: All males, Multiple genders, No males",NA
2017,not_female,,An operation with no female operators,A dummy variable that is one if no operators on the operation are female
2017,not_male,,An operation with no male operators,A dummy variable that is one if no operators on the operation are male
2017,total_female,,Total number of female operators on an operation,NA
2017,total_male,,Total number of male operators on an operation,NA
2017,all_senior,,All operators on an operation are seniors,Senior is defined as 65 years or older
2017,all_young,,All operators on an operation are young,Young is defined as less than 35 years of age (following the 2022 NASS definition)
2017,any_senior,,Multigenerational operation,Senior is defined as 65 years or older
2017,any_young,,Multigenerational operation,Young is defined as less than 35 years of age (following the 2022 NASS definition)
2017,not_senior,,No operators on an operation are seniors,Senior is defined as 65 years or older
2017,not_young,,No operators on an operation are young,Young is defined as less than 35 years of age (following the 2022 NASS definition)
2017,senior,,An operation with a senior operator,Senior is defined as 65 years or older
2017,senior_fct,,"Senior factor variable with three levels: all senior, multigenerational, no senior",Senior is defined as 65 years or older
2017,total_age,,Total age of all operators on an operation,Can be used to compute average age in combination with number_operators
2017,total_senior,,Total number of senior operators on an operation,Senior is defined as 65 years or older
2017,total_young,,Total number of young operators on an operation,Young is defined as less than 35 years of age (following the 2022 NASS definition)
2017,young,,An operation with a young operator,Young is defined as less than 35 years of age (following the 2022 NASS definition)
2017,young_fct,,"Young factor variable with three levels: all young, multigenerational, no young",Young is defined as less than 35 years of age (following the 2022 NASS definition)
2017,all_vet,,All operators have military service,"Military service is defined as operators only on active duty for training in the Reserves or National Guard, now on active duty, on active duty in the past but not now"
2017,any_vet,,"One or more, but not all operators have military service","Military service is defined as operators only on active duty for training in the Reserves or National Guard, now on active duty, on active duty in the past but not now"
2017,not_vet,,No operators have military service,"Military service is defined as operators only on active duty for training in the Reserves or National Guard, now on active duty, on active duty in the past but not now"
2017,total_vet,,Total number of operators with military service on an operation,"Military service is defined as operators only on active duty for training in the Reserves or National Guard, now on active duty, on active duty in the past but not now"
2017,vet,,An operation with a producer with military service,"Military service is defined as operators only on active duty for training in the Reserves or National Guard, now on active duty, on active duty in the past but not now"
2017,vet_fct,,"Military service factor variable with three levels: All Veterans, One or more, but not all Veterans and No Veterans","Military service is defined as operators only on active duty for training in the Reserves or National Guard, now on active duty, on active duty in the past but not now"
2017,all_retired,,All operators on an operation are retired,Retired is defined as retired from farming or ranching
2017,proportion_retired,,Proportion of operators on an operation that are retired,Retired is defined as retired from farming or ranching
2017,total_retired,,Total number of retired operators on an operation,Retired is defined as retired from farming or ranching
2017,all_off_farm,,All operators on an operation work primarily off-farm,Majority off-farm is defined as an operator spending 50% or more of his/her worktime on work other than farming or ranching
2017,any_off_farm,,One or more but not all operators work primarily off-farm,Majority off-farm is defined as an operator spending 50% or more of his/her worktime on work other than farming or ranching
2017,not_off_farm,,No operators on an operation work primarily off-farm,Majority off-farm is defined as an operator spending 50% or more of his/her worktime on work other than farming or ranching
2017,off_farm,,"Off-farm work factor variable with three levels: All operators work majority off-farm, One or more but not all operators work majority off-farm, No operators work majority off-far",Majority off-farm is defined as an operator spending 50% or more of his/her worktime on work other than farming or ranching
2017,primary_days_off_farm,,"Number of days worked off-farm by primary operator (1:none, 2:1-49 days, 3:50-99 days, 4:100-199 days, 5:200 days or more)","Days off-farm include days in which the operator worked at least four hours per day in an off-farm job, including work on someone else's farm for pay, data not available for 2017"
2017,primary_off_farm,,Primary operator works majority off-farm,"Majority off-farm is defined as an operator spending 50% or more of his/her worktime on work other than farming or ranching, data is not available in 2017"
2017,proportion_days_off_farm,,Average days worked off-farm for all operators on an operation,"Days off-farm include days in which the operator worked at least four hours per day in an off-farm job, including work on someone else's farm for pay. Each operator indicates a number from 1-5 and here we sum up those numbers and divide them by the number of operators on the operation"
2017,proportion_off_farm,,Proportion of operators on an operation that work majority off-farm,Total number of operators working majority off-farm/total number of operators
2017,total_days_off_farm,,"Total number of days worked off-farm by all operators on an operation (1:none, 2:1-49 days, 3:50-99 days, 4:100-199 days, 5:200 days or more) ","Days off-farm include days in which the operator worked at least four hours per day in an off-farm job, including work on someone else's farm for pay. Each operator indicates a number from 1-5 and here we sum up those numbers"
2017,total_off_farm,,Total number of operators on an operation working primarily off-farm,Majority off-farm is defined as an operator spending 50% or more of his/her worktime on work other than farming or ranching
2017,org_family,,Family or individual operation (exludes partnerships and corporations),Describes operations legal status for tax purposes
2017,org_incorporated,,Operation incorporated under state law,Describes operations legal status for tax purposes
2017,org_other,,"Operation is organized as an estate or trust, prision farm, grazing association, American Indian Reservation, etc.",Describes operations legal status for tax purposes
2017,org_partnership,,Partnership operation (includes family partnerships),Describes operations legal status for tax purposes
2017,cover_crop,,An operation with acres planted as a cover crop,"A cover crop is a crop planted primarily to manage soil erosion, soil fertility, soil quality, water, weeds, pests, and diseases on non-CRP acres"
2017,cover_crop_acres,,Acres planted with a cover crop,"A cover crop is a crop planted primarily to manage soil erosion, soil fertility, soil quality, water, weeds, pests, and diseases on non-CRP acres"
2017,intensive_till,,An operation where intensive-till farming practices were utilized,"Intensive tillage leaves less than 15% of crop residue of small grain residue. This type of tillage is often referred to as conventional tillage. Intensive tillage often involves multiple operations with implements such as a mold board, disk, and/or chisel plow"
2017,intensive_till_acres,,Acres where intensive-till farming practices were utilized,"Intensive tillage leaves less than 15% of crop residue of small grain residue. This type of tillage is often referred to as conventional tillage. Intensive tillage often involves multiple operations with implements such as a mold board, disk, and/or chisel plow"
2017,no_till,,An operation where no-till farming practices were utilized,No-till farming practices is cropland used for production from year to year without disturbing the soil through tillage other than planting
2017,no_till_acres,,Acres where no-till farming practices were utilized,No-till farming practices is cropland used for production from year to year without disturbing the soil through tillage other than planting
2017,reduced_till,,An operation where reduced-till farming practices were utilized,"Reduced tillage leaves between 15% and 30% residue cover on the soil of small grain residue to conserve moisture and prevent erosion. This may involve the use of a chisel plow, field cultivators, or other implements"
2017,reduced_till_acres,,Acres where reduced-till farming practices were utilized,"Reduced tillage leaves between 15% and 30% residue cover on the soil of small grain residue to conserve moisture and prevent erosion. This may involve the use of a chisel plow, field cultivators, or other implements"
2017,alley_cropping,,"Operation practiced alley cropping, silvopasture, or forest farming or have riparian forest buffers or windbreaks",NA
2017,biomass,,Operation harvested biomass for use in the production of renewable energy,"Includes crop residue, grasses, woody biomass, etc., excluding grains, oilseeds, and firewood"
2017,onfarm_packing,,Operation has an on-farm packing facility,"Used for distributing vegetables, potatoes, fruit, nuts, berries or other crops"
2017,rotational_grazing,,Operation practiced rotaional grazing or management-intensive grazing,NA
2017,veal,,Operation raised or sold veal calves,NA
2017,other_pasture,,An operation with other pasture and grazing land that could have been used for crops without additional improvement,Including rotational pasture
2017,other_pasture_acres,,Acres of other pasture and grazing land that could have been used for crops without additional improvement,Including rotational pasture
2017,pasture,,An operation with pastureland,"Includes permanent pasture and rangeland, woodland pastured, and other pasture and grazing land"
2017,pasture_acres,,Total pasture acres,"Includes permanent pasture and rangeland, woodland pastured, and other pasture and grazing land"
2017,permanent_pasture,,An operationw with permanent pasture and rangeland,NA
2017,permanent_pasture_acres,,Acres of permanent pasture and rangeland,NA
2017,woodland_pasture,,An operation with woodland pastured,NA
2017,woodland_pasture_acres,,Acres of woodland pastured,NA
2017,defoliation,,"An operation with acres of crops treated to contraol growth, thin fruit, ripen or defoliate",NA
2017,defoliation_acres,,"Acres of crops treated to contraol growth, thin fruit, ripen or defoliate",NA
2017,diseases,,An opeartion with acres on which chemicals were applied to control diseases in crops anc orchards,"Includes blight, smut, rust, etc."
2017,diseases_acres,,Acres on which chemicals were applied to control diseases in crops anc orchards,"Includes blight, smut, rust, etc."
2017,fertilizer_cropland,,An operation with cropland acres to which commercial fertilizer and soil conditioners were applied,Excluding cropland used only for pasture
2017,fertilizer_cropland_acres,,Cropland acres to which commercial fertilizer and soil conditioners were applied,Excluding cropland used only for pasture
2017,fertilizer_pastureland,,An operation with pastureland and rangeland acres to which commercial fertilizer and soil conditioners were applied,Including cropland used only for pasture or grazing
2017,fertilizer_pastureland_acres,,Pastureland and rangeland acres to which commercial fertilizer and soil conditioners were applied,Including cropland used only for pasture or grazing
2017,insects,,An operation with acres on which chemicals were applied to control insects,NA
2017,insects_acres,,Acres on which chemicals were applied to control insects,NA
2017,manure,,An operation with acres of cropland and pastureland on which animal manure was applied,NA
2017,manure_acres,,Acres of cropland and pastureland on which animal manure was applied,NA
2017,nematodes,,An operation with acres on which chemicals were applied to control nematodes,NA
2017,nematodes_acres,,Acres on which chemicals were applied to control nematodes,NA
2017,organic,,An operation with acres of cropland and/or pastureland treated with certified organic fertilizer,Organic according to USDA's NAtional Organic Program (NOP) standards
2017,organic_acres,,Acres of cropland and/or pastureland treated with certified organic fertilizer,Organic according to USDA's NAtional Organic Program (NOP) standards
2017,weeds,,"An operation with acres on which chemicals were applied to control weeds, grass or brush",Includes both pre-ermergence and post emergence
2017,weeds_acres,,"Acres on which chemicals were applied to control weeds, grass or brush",Includes both pre-ermergence and post emergence
2017,biodiesel,,Biodiesel production system on operation,"Renewable energy producing systems on the operation, regardless of ownership"
2017,ethanol,,Ethanol production system on operation,"Renewable energy producing systems on the operation, regardless of ownership"
2017,geothermal,,Geothermal/geoexchange system on operation,"Renewable energy producing systems on the operation, regardless of ownership"
2017,methane_digester,,Methane digesters on operation,"Renewable energy producing systems on the operation, regardless of ownership"
2017,other_renewable,,Other renewable energy system on operation,"Renewable energy producing systems on the operation, regardless of ownership"
2017,small_hydro,,Samll hydro system on operation,"Renewable energy producing systems on the operation, regardless of ownership"
2017,solar,,Solar panels on operation,"Renewable energy producing systems on the operation, regardless of ownership"
2017,wind,,Wind turbines on operation,"Renewable energy producing systems on the operation, regardless of ownership"
2017,wind_rights,,Wind rights on the land owned by this operation were leased to others,NA
2017,combines,,"Number of grain and bean combines, self-propelled","Includes machinery, equipment and implements used for the farm or ranch business and usually kept on the operations"
2017,cotton_picker,,"Number of cotton pickers and strippers, self-propelled","Includes machinery, equipment and implements used for the farm or ranch business and usually kept on the operations"
2017,forage_harvester,,"Number of forage harvesters, self-propelled","Includes machinery, equipment and implements used for the farm or ranch business and usually kept on the operations"
2017,hay_balers,,Number of hay balers,"Includes machinery, equipment and implements used for the farm or ranch business and usually kept on the operations"
2017,tractors_100_plushp,,Number of tractors 100 horsepower (PTO) or more,"Includes machinery, equipment and implements used for the farm or ranch business and usually kept on the operations"
2017,tractors_40_99hp,,Number of tractors 40-99 horsepower (PTO),"Includes machinery, equipment and implements used for the farm or ranch business and usually kept on the operations"
2017,tractors_less_40hp,,"Number of tractors less than 40 horesepower (PTO), excluding garden tractors","Includes machinery, equipment and implements used for the farm or ranch business and usually kept on the operations"
2017,trucks,,"Number of trucks, including pickups on operations","Includes machinery, equipment and implements used for the farm or ranch business and usually kept on the operations"
2017,animalpurchase,,"Breeding livestock, all other livestock and poultry purchased or leased","Includes dairy cattle, stocker and feeder cattle, calves, sheep, lambs, feeder pigs, chicks, pullets, poults, horses, fish, goats, bee colonies, etc., includes livestock leasing expense"
2017,animalpurchase_alt_var_pct,,"Breeding livestock, all other livestock and poultry purchased or leased as a percent of total variable expense","Includes dairy cattle, stocker and feeder cattle, calves, sheep, lambs, feeder pigs, chicks, pullets, poults, horses, fish, goats, bee colonies, etc., includes livestock leasing expense"
